,dawf_Star_name,dawf_Star_Distance,Mass,Radius
0,54 Piscium,36.1,0.050593164,
1,AB Pictoris,66.6,0.012886938,
2,CD−33°7795,163.08,0.01909176,
3,CT Chamaeleontis,538,0.016227996,0.2260786
4,Eta Coronae Borealis,58.3,0.060139044,
5,G 196-3,50.2,0.0238647,
6,GD 165,103,,
7,Gliese 570,19,0.049638576000000004,
8,GU Piscium,155.3,0.010500468,
9,HD 89744,126.2,,
10,HD 100546,337.25,0.01909176,
11,HN Pegasi,58.3,0.026728464,0.10379063
12,LHS 4040 [es],,,
13,UScoCTIO 108,473,0.013364232,
14,WD 0137-349,330,0.050593164,
15,HD 41004 B,139,0.0175644192,
16,HD 283750,53.81,0.0477294,
17,HD 149382,241,0.014796114,
18,COROT-15,,0.0605208792,0.11509456
19,Xi Ursae Majoris B,25.11,0.035319756,
20,Upsilon Andromedae,43.9,0.013345140240000001,
21,Gliese 758,51.9,0.021955524,
22,HD 112758,53.81,0.03341058,
23,BD−04°782,66.6,0.020046348000000002,
24,HD 110833,55.44,0.016227996,
25,HD 89707,81.54,0.051547752,
26,Tau Geminorum,302,0.0172780428,
27,HAT-P-13,698,0.0145097376,
28,HD 217580,58.7,0.057275280000000005,
29,HD 16760,163,0.013650608400000002,
30,HD 13189,603.4,0.013364232,
31,HD 18445,83.92,0.037228932,
32,HD 8673,124.75,0.013364232,
33,NGC 4349-127,7097,0.018900842400000003,
34,Gliese 569,31.5,0.110732208,
35,HD 29587,146.77,0.03818352,
36,ChaHα8,522,0.017182584,
37,COROT-20,4000,0.016227996,
38,HD 168443,123.5,0.032455992,
39,HD 38529 A,138,0.035319756,
40,Epsilon Indi,11.8,0.026728464,
41,HW Virginis,590,0.018356727240000002,
42,DT Virginis,37.55,0.01193235,0.1130393
43,HD 4113,136,0.057275280000000005,
44,Gliese 229,19,0.03818352,
45,TYC 9486-927-1,111,unknown,
46,Epsilon Indi,11.8,0.044865636,
47,HD 131664,180.8,0.0173257722,
48,HD 136118,171,0.040092696000000004,
49,HD 140913,156.42,0.043911048,
50,GQ Lupi,400,unknown,0.18497339999999998
51,HD 162020,101.95,0.014318820000000001,
52,Nu Ophiuchi,152.8,0.020905477199999998,
53,HD 164427,127.52,0.043911048,
54,SCR 1845-6357,12.57,unknown,
55,COROT-3,2220,0.02067637608,0.10379063
56,15 Sagittae,57.7,0.06204822,
57,Zeta Delphini,220,0.05250234,
58,HD 202206,151.14,0.016609831199999998,
59, , ,unknown,unknown
60,OGLE-TR-109,8450,unknown,0.09248669999999999
61,RU Lupi,400,unknown,
62,CM Draconis,48,0.061093632,
63,BD+20°2457,652,0.02044727496,
64,HD 3346,655.58,0.057275280000000005,
65,HD 104304,42.1,0.0164189136,
66,HD 154857,220,0.0175644192,
67,Gliese 22 B,326,0.015273408,
68, , ,unknown,unknown
69,SDSS J000013.54+255418.6 [de],46.1,0.0009450421200000001,205.937052
70,2MASS J00040288-6410358,192,0.00155597844,
71,LHS 102BC,,,205.73152599999997
72,2MASS J00242463-0158201,37.7,0.0010405009200000002,
73,2MASS J00250365+4759191AB,143,,
74,2MASS J00274197+0503417,236,0.00137460672,
75,2MASS J00275592+2219328,46.9,,
76,2MASSW J0030300-145033,87.2,0.00093549624,
77,2MASS J00332386-1521309 [de],131,0.00136506084,
78,2MASS J00345157+0523050,31,0.00089731272,
79,2MASS 0036+1821,28.6,0.00089731272,205.52599999999998
80,2MASSW J0045214+163445,57,0.00154643256,
81,WISEP J004701.06+680352.1 [fr],40,0.0012409644000000001,
82,2MASS J00501994-3322402 [de],34,0.00089731272,
83,2MASS J00034227-2822410,,,
84,2MASS J00584253-0651239 [de],96,0.00136506084,
85,CFBDS J005910.90–011401.3,30,,206.861919
86,2MASSI J0103320+193536,70,0.00093549624,
87,SDSSp J010752.33+004156.1 [de],51,0.00093549624,
88,2MASSI J0117474-340325 [de],163,0.00154643256,
89,2MASS J01415823-4633574 [de],130,0.0015368866800000002,
90,SDSS J015141.69+124429.6,70,0.00092595036,
91,DENIS-P J020529.0−115925A,65,,205.21771099999998
92,DENIS-P J020529.0−115925B,65,,205.21771099999998
93,DENIS-P J020529.0−115925C,65,,205.21771099999998
94,SDSS J020742.48+000056.2 [de],111,0.00092595036,
95,2MASS J02103857-3015313,101,0.00146051964,
96,2MASS J02340093-6442068,155,0.00154643256,
97,2MASS J02411151-0326587 [de],152,0.00134596908,
98,2MASS J02431371−2453298,35,0.0009450421200000001,205.73152599999997
99,LP 771-21,53,0.0010309550400000001,
100,2MASS J02511327+0047364,,,
101,Teegarden's star,12.578,0.0012123267600000001,205.83428899999998
102,2MASS J02535980+3206373,184,0.0018137172,
103,WISE J0254+0223,24,0.0018137172,
104,DEN 0255-4700,16.2,0.00092595036,206.142578
105,2MASS J03185403-3421292 [de],45,0.00092595036,206.34810399999998
106,2MASS J03205965+1854233,47,0.0010977762,
107,2MASS J03231002-4631237,192,0.00158461608,
108,SDSS J032553.17+042540.1,59,0.0009068586,
109,2MASS J03264225-2102057 [de],80,0.0012409644000000001,205.83428899999998
110,2MASS J03284265+2302051 [de],98,0.00093549624,205.52599999999998
111,2MASS J03341218-4953322,27,0.00099277152,
112,LP 944-20,20.9,0.00136506084,
113,2MASP J0345432+254023,88,0.0010023174,205.21771099999998
114,Teide 1,380,0.00360834264,205.012185
115,2MASS J03510004-0052452,48,0.0012123267600000001,
116,2MASS J03552337+1133437,29.8,0.00126005616,206.142578
117,DENIS-P J035726.9-441730 [de],130,,
118,2MASS J04151954−0935066,18.6,0.0009068586,205.73152599999997
119,SDSSp J042348.57-041403.5 [de],50,,205.73152599999997
120,2MASS J04285096-2253227 [de],85,0.0010405009200000002,205.83428899999998
121,2MASS J04351612-1606574,34,0.00120278088,
122,2MASS J04362788-4114465,142,0.00188053836,
123,2MASS J04390101-2353083 [de],29.5,0.00092595036,205.83428899999998
124,2MASS J04414489+2301513,470,,206.55363
125,2MASS J04433764+0002040,82,0.00169916664,
126,2MASS J04455387-3048204 [de],42,0.000954588,205.83428899999998
127,2MASS J04510093-3402150 [de],69,0.068730336,205.83428899999998
128,2MASS J05002100+0330501 [de],44,0.000954588,206.34810399999998
129,2MASS J05012406-0010452 [de],64,0.00131733144,206.34810399999998
130,2MASS J05160945-0445499 [de],73,0.00092595036,205.83428899999998
